2025-06,US,검은콩 두유,black bean soy milk korea,4
2025-06,US,바나나우유,banana milk korea,66
2025-06,JP,검은콩 두유,黒豆豆乳韓国,0
2025-06,VN,바나나우유,sữa chuối Hàn Quốc,3
2025-06,VN,검은콩 두유,sữa đậu đen Hàn Quốc,1
2025-07,US,바나나우유,banana milk korea,25
2025-07,US,검은콩 두유,black bean soy milk korea,5
2025-07,JP,바나나우유,バナナミルク韓国,1
2025-07,JP,검은콩 두유,黒豆豆乳韓国,0
2025-07,VN,바나나우유,sữa chuối Hàn Quốc,2
2025-07,VN,검은콩 두유,sữa đậu đen Hàn Quốc,0
2025-08,US,검은콩 두유,black bean soy milk korea,0
2025-08,JP,검은콩 두유,黒豆豆乳韓国,0
2025-08,JP,바나나우유,バナナミルク韓国,5
2025-08,VN,바나나우유,sữa chuối Hàn Quốc,0
2025-08,VN,검은콩 두유,sữa đậu đen Hàn Quốc,2
2025-08,US,바나나우유,banana milk korea,100
2025-09,US,검은콩 두유,black bean soy milk korea,5
2025-09,JP,바나나우유,バナナミルク韓国,2
2025-09,US,바나나우유,banana milk korea,50
2025-09,JP,검은콩 두유,黒豆豆乳韓国,0
2025-09,VN,바나나우유,sữa chuối Hàn Quốc,7
2025-09,VN,검은콩 두유,sữa đậu đen Hàn Quốc,1
2025-10,US,검은콩 두유,black bean soy milk korea,2
2025-10,JP,바나나우유,バナナミルク韓国,3
2025-10,JP,검은콩 두유,黒豆豆乳韓国,0
2025-10,US,바나나우유,banana milk korea,87
2025-10,VN,바나나우유,sữa chuối Hàn Quốc,2
2025-10,VN,검은콩 두유,sữa đậu đen Hàn Quốc,3
2025-11,JP,검은콩 두유,黒豆豆乳韓国,0
2025-11,US,검은콩 두유,black bean soy milk korea,2
2025-11,JP,바나나우유,バナナミルク韓国,1
2025-11,US,바나나우유,banana milk korea,68
2025-11,VN,바나나우유,sữa chuối Hàn Quốc,3
2025-11,VN,검은콩 두유,sữa đậu đen Hàn Quốc,1
